gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,score,sum_click
M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Distinction,82.0,934.0
F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,66.4,1435.0
F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Fail,0.0,281.0
F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,76.0,2158.0
F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,54.4,1034.0
M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,68.0,2445.0
M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,68.0,1492.0
F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,72.4,1428.0
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,71.4,1894.0
M,North Region,Post Graduate Qualification,0-10%,55<=,0,60,N,Pass,78.0,3158.0
M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,74.0,1319.0
F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.2,1732.0
M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,78.6,1102.0
F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,76.0,3388.0
M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.6,2737.0
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,67.0,176.0
F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,55.6,1053.0
M,Ireland,HE Qualification,0-10%,35-55,0,60,N,Distinction,80.4,2327.0
M,East Anglian Region,A Level or Equivalent,10-20%,35-55,0,150,N,Pass,48.5,116.0
M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,66.0,2992.0
M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,70.4,680.0
M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,70.8,1494.0
M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,65.33333333333333,1240.0
M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,60.6,2839.0
M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,68.4,744.0
M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,72.6,4104.0
M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,78.0,1944.0
M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,76.6,1150.0
M,Ireland,Post Graduate Qualification,0-10%,35-55,0,60,N,Pass,79.6,4777.0
M,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,60.0,465.0
M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,53.4,733.0
M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,63.4,998.0
F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Distinction,81.0,2343.0
M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,77.6,3553.0
F,North Region,Post Graduate Qualification,0-10%,35-55,0,60,N,Pass,71.8,757.0
M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,72.8,1358.0
M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,62.4,1886.0
M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,74.2,1108.0
M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,61.8,284.0
M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,71.4,2041.0
F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,69.6,1321.0
M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,81.0,1888.0
F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,67.4,520.0
F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,84.4,2732.0
F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Fail,0.0,73.0
F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Pass,53.142857142857146,610.0
M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Distinction,80.2,5528.0
F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,72.6,1823.0
M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Pass,48.833333333333336,756.0
F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,73.6,2121.0
F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,68.8,5645.0
M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,54.4,452.0
F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass,50.0,597.0
M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Pass,68.66666666666667,1718.0
F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Pass,52.0,155.0
F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Pass,79.5,3812.0
F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,50.0,270.0
M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,67.0,1529.0
F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,79.8,4003.0
F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,78.14285714285714,2645.0
F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,70.6,1405.0
M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,68.2,2062.0
M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,71.8,466.0
F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,69.4,1510.0
F,West Midlands Region,Lower Than A Level,10-20%,35-55,0,60,N,Pass,66.4,745.0
M,Ireland,HE Qualification,0-10%,35-55,0,60,N,Pass,69.6,1939.0
F,Ireland,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,61.4,1782.0
M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Distinction,80.4,6318.0
M,North Region,HE Qualification,0-10%,35-55,0,60,N,Distinction,82.4,4447.0
M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,78.2,2016.0
